ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CHN,China,avh,Average annual hours worked by persons engaged,,,,,,,,,,,,,,,,,,,,,1976.31198565754,1975.79368335085,1975.50769609747,1975.36479610658,1975.18970182042,1974.89744134269,1974.20747917558,1973.4352539229,1972.72743689147,1972.10381751923,1971.49673892565,1971.10161985003,1970.70625302449,1970.19273094127,1969.72290679925,1969.39046443884,1970.44159854764,1971.46331201726,1972.67638540469,1973.98727769082,1975.35399295742,1976.88806287887,1978.4228544564,1981.64529459047,1989.29892990883,2001.83393325498,2017.26468243655,2037.36385895159,2062.05230428812,2082.06654040956,2090.47531061941,2103.51517613363,2118.20137588701,2138.08227702886,2167.89594581493,2192.35458727075,2183.05831502574,2152.6502141501,2131.59268716585,2138.85173747165,2172.71018311543,2178.80911654017,2184.29287571704,2178.3250154072,2178.66247759958,2170.45931702625,2167.22768958674,2168.91884848017,2168.91884848017,2168.91884848017
CHN,China,ccon,"Real consumption of households and government, at current PPPs (in mil. 2017US$)",,,452103.78125,512419.5625,471672.125,519724.03125,550866.4375,566489.5625,575013.125,545978.1875,532186.5625,442000.5,474741.65625,538685.75,613617.25,677300.5625,700120.75,715395.9375,696766.6875,765457.25,862426.25,946883.875,942130.75,982369.125,1046607,1092511.625,1121401.5,1129500.625,1238342.625,1317432.125,1396871.625,1416118.875,1537205.375,1660942.375,1833701.25,1960120.25,2069538.25,2148567.25,2205667.75,2140503.75,2152725,2254171.5,2454364.75,2806143.75,2876062.25,2981203.5,3162150.75,3293025,3359225.5,3637066.25,3939191,4152192,4551239.5,4774993.5,5130306.5,5734382.5,5984607.5,6067222.5,6061694.5,6478556,7019601,7540279.5,8420921,8759287,9146506,9629432,10109066,10721723,10401390,10566063
CHN,China,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),,,569331.625,643109.4375,599188.6875,655620.8125,705960.75,730784.5625,745549.5625,708488.1875,665814.4375,568989.5,619425.4375,694502.25,781582.5625,862648.4375,888646.5625,917839.5625,893585.125,981997.6875,1098845.625,1209572,1173206.125,1271536.125,1295690.875,1361600.25,1307894.75,1403833.5,1608224.5,1685320.75,1724348.125,1748511.25,1894341,2023202.125,2272682.25,2522017.25,2625785.5,2808426.5,2963256,2960363.5,2967523.75,3127390.75,3372579.25,3612290.25,3945906.25,4343848,4634672.5,4875955.5,4876382.5,5135949,5543107.5,6058904,6689212.5,7302662.5,8188286,9276251,10209220,11182232,11776912,12627631,14155120,15123922,16233770,16707255,17331976,17910582,18545632,19501140,19439218,19919016
CHN,China,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,576916.1875,650393.5625,602422.25,661626.0625,705842.8125,729378,745099.0625,709001.1875,668069.375,569134.875,616336.3125,691066.4375,778861.8125,861736.1875,887917.125,916764.625,891927.625,978135.75,1098888.25,1204924.75,1168375.5,1269198.75,1300513.375,1363548.875,1307677.375,1402558.375,1614265,1694557.5,1730788.25,1747576.875,1877716.5,2019268.875,2283150.75,2599232.75,2680800,2819141.25,2997361,2995211.75,2925998.75,3078153.5,3368570.75,3673161.25,3932516,4310805,4589980.5,4769033,4791249.5,5090989,5517329,6042161.5,6659621.5,7292070,8149844,9151640,9971915,10874190,11516746,12460865,14093089,15149280,16314193,16716764,17440318,18058634,18619490,19687162,19634244,20118076
CHN,China,ck,Capital services levels at current PPPs (USA=1),,,,,,,0.0319336988031864,0.0330907665193081,0.0360276848077774,0.0406118892133236,0.043140534311533,0.0417906381189823,0.0392219722270966,0.0378419756889343,0.0367360524833202,0.0370888635516167,0.0379414856433868,0.0375690646469593,0.0370809324085712,0.0370541848242283,0.0387272723019123,0.0418281778693199,0.0450499095022678,0.0483257696032524,0.0520812980830669,0.0583285354077816,0.0634716525673866,0.0682785362005234,0.0737463310360909,0.0793476775288582,0.0833655223250389,0.0877820029854775,0.0932574197649956,0.0986612364649773,0.101708240807056,0.106882989406586,0.111021943390369,0.11368216574192,0.118126906454563,0.119070656597614,0.119721107184887,0.12308194488287,0.130234211683273,0.142031192779541,0.153371766209602,0.16372948884964,0.174801960587502,0.18426576256752,0.197435811161995,0.21061684191227,0.219335049390793,0.234645634889603,0.261909872293472,0.293803423643112,0.328064203262329,0.370560318231583,0.414361953735352,0.463998377323151,0.532464146614075,0.638191401958466,0.753338813781738,0.835943937301636,0.88185316324234,0.922306001186371,0.954943358898163,0.960806787014008,0.993253767490387,1.02576899528503,1.08683395385742,1.14743554592133
CHN,China,cn,Capital stock at current PPPs (in mil. 2017US$),,,352112.875,376088.6875,403378.59375,427434.125,456440.09375,486749.78125,542503.875,625967.9375,691718.875,700356.625,694152.375,703602.75,727036.875,767283.3125,823647.8125,852195.625,879540.3125,915541.75,993473.8125,1079436.5,1164101.125,1250886.75,1355039,1480534.375,1592697.5,1708561.125,1845605.5,1986699.25,2149862,2317788.75,2504770.5,2696741.5,2926695,3214338.75,3517756.75,3839339.25,4216628,4497812,4763758,5051366,5506873.5,6179305,6911710,7704396,8578956,9510872,10650426,11811647,13034514,14505863,16249036,18387840,20845850,23684224,27126450,31353628,36438724,42933700,49973752,56498932,61248864,66224916,70822720,73737440,78411272,83349168,91126264,99462136
CHN,China,csh_c,Share of household consumption at current PPPs,,,0.652913630008698,0.655104756355286,0.651063144207001,0.650573492050171,0.644902288913727,0.64041018486023,0.634946286678314,0.63223934173584,0.653782427310944,0.636536002159119,0.63212925195694,0.637835681438446,0.642856180667877,0.638703346252441,0.637687027454376,0.63017749786377,0.628840863704681,0.626894235610962,0.626612484455109,0.609285473823547,0.622528076171875,0.602366983890533,0.618282616138458,0.612688541412354,0.652040183544159,0.606345176696777,0.563758969306946,0.554244220256805,0.586038410663605,0.592297613620758,0.598282277584076,0.594422876834869,0.559908211231232,0.534973084926605,0.551016807556152,0.547613620758057,0.535972058773041,0.516968786716461,0.536040604114533,0.523378372192383,0.506388902664185,0.529109418392181,0.509437799453735,0.498472511768341,0.506467938423157,0.49214044213295,0.480914890766144,0.474182605743408,0.467340648174286,0.447512120008469,0.445639848709106,0.422683715820313,0.402600854635239,0.392180651426315,0.381619244813919,0.36430886387825,0.352942377328873,0.356363773345947,0.348049402236939,0.35161417722702,0.356167286634445,0.364793539047241,0.372076064348221,0.382125794887543,0.39529299736023,0.403199225664139,0.391436994075775,0.387516260147095
CHN,China,csh_i,Share of gross capital formation at current PPPs,,,0.160902112722397,0.163229405879974,0.168201595544815,0.164100959897041,0.167731583118439,0.173987537622452,0.193643555045128,0.223556354641914,0.201319068670273,0.169240519404411,0.14797231554985,0.159852117300034,0.160123229026794,0.172139272093773,0.181328341364861,0.163463354110718,0.165523529052734,0.169022858142853,0.189144134521484,0.192886143922806,0.15941333770752,0.198282808065414,0.169977143406868,0.175348341464996,0.140737131237984,0.174209505319595,0.220151409506798,0.21653525531292,0.189724639058113,0.191085740923882,0.183026507496834,0.180565610527992,0.201314508914948,0.264024257659912,0.24078132212162,0.242965489625931,0.272479921579361,0.294748991727829,0.261476427316666,0.260646373033524,0.267580181360245,0.244455561041832,0.262789279222488,0.302966505289078,0.304357796907425,0.290360242128372,0.276769310235977,0.269053250551224,0.269803494215012,0.298042088747025,0.30024442076683,0.331531405448914,0.354523628950119,0.341903984546661,0.354197174310684,0.387320131063461,0.420864820480347,0.453718483448029,0.466177731752396,0.46884161233902,0.452707350254059,0.45662072300911,0.452933251857758,0.431054592132568,0.429897546768189,0.424955636262894,0.448935270309448,0.454168498516083
CHN,China,ctfp,TFP level at current PPPs (USA=1),,,,,,,0.634950280189514,0.620983600616455,0.584878623485565,0.502265751361847,0.455704122781754,0.390877991914749,0.417294770479202,0.45855250954628,0.502946257591248,0.522839605808258,0.498209863901138,0.492734789848328,0.450563997030258,0.469839513301849,0.501793205738068,0.501865327358246,0.44671705365181,0.448181062936783,0.456562906503677,0.44281193614006,0.387449264526367,0.384267568588257,0.41091850399971,0.403596341609955,0.389850705862045,0.367852509021759,0.374482691287994,0.376934230327606,0.3968186378479,0.422336518764496,0.409229725599289,0.410106211900711,0.409018516540527,0.392396926879883,0.366761386394501,0.369508624076843,0.374169170856476,0.393658697605133,0.392923593521118,0.402964144945145,0.390987277030945,0.379099398851395,0.345453858375549,0.335653722286224,0.345895767211914,0.357353717088699,0.362951070070267,0.367806017398834,0.384502738714218,0.398919850587845,0.409700930118561,0.423655867576599,0.420111209154129,0.413341194391251,0.422073394060135,0.424157351255417,0.43264451622963,0.424787998199463,0.424850285053253,0.427585303783417,0.427597224712372,0.436116904020309,0.413475781679153,0.403457015752792
CHN,China,delta,Average depreciation rate of the capital stock,,,0.0417728610336781,0.0441323667764664,0.0466213822364807,0.0485700592398644,0.0501640439033508,0.0517002008855343,0.0538444519042969,0.0568840429186821,0.0591646134853363,0.0592108406126499,0.0578912012279034,0.0567069426178932,0.0559501387178898,0.0555851608514786,0.0553679056465626,0.0550573915243149,0.0545799508690834,0.054155744612217,0.0539168268442154,0.0536697842180729,0.0534093715250492,0.0532388314604759,0.0530978552997112,0.0529374815523624,0.0525410063564777,0.0520512796938419,0.0520317777991295,0.052353996783495,0.0523517541587353,0.0518758818507195,0.0513948351144791,0.0512479282915592,0.0516183152794838,0.0525771491229534,0.0534735806286335,0.0540429167449474,0.0545945316553116,0.0545614808797836,0.0540136098861694,0.0537628531455994,0.054179422557354,0.0553766265511513,0.0566417202353478,0.0569493919610977,0.0564799197018147,0.0559849962592125,0.0555112771689892,0.0548741184175015,0.0541414320468903,0.0534421019256115,0.0528631657361984,0.0528995431959629,0.0535965748131275,0.0544476956129074,0.0549245327711105,0.0546208992600441,0.0542731285095215,0.0546635389328003,0.0553934127092361,0.0558375827968121,0.0560450069606304,0.0560610331594944,0.0557859018445015,0.0552929677069187,0.0546073280274868,0.0538306310772896,0.0530670173466206,0.0523187816143036
