STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,ADJUSTMENT,Ajustement,REF_AREA,Zone de référence,SECTOR,Secteur institutionnel,COUNTERPART_SECTOR,Secteur institutionnel de contrepartie,TRANSACTION,Transaction,INSTR_ASSET,Instruments financiers et actifs non financiers,ACTIVITY,Activité économique,EXPENDITURE,Dépense,UNIT_MEASURE,Unité de mesure,PRICE_BASE,Type de prix,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Identifiant de tableau,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,REF_YEAR_PRICE,Prix ​​année de référence,BASE_PER,Période de base,CONF_STATUS,Statut de confidentialité,DECIMALS,Décimales,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1980-Q1,,1562480.5,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S1,Economie totale,S1,Economie totale,B1GQ,Produit intérieur brut,_Z,Non applicable,_Z,Non applicable,_Z,Non-applicable,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1969-Q4,,5593141.1,,2020,,,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1985-Q3,,1828123.7,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1985-Q2,,1788014.1,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1985-Q1,,1763741.9,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1984-Q4,,1742081.9,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1984-Q3,,1719322,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1984-Q2,,1708619.7,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1984-Q1,,1674468.5,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1983-Q4,,1666904,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1983-Q3,,1707565.2,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1983-Q2,,1687991.5,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1983-Q1,,1676095.6,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1982-Q4,,1661678.2,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1982-Q3,,1641692.1,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1982-Q2,,1623355.8,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1982-Q1,,1624135.4,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1981-Q4,,1613913.5,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1979-Q1,,1549302,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1994-Q4,,2102929.5,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1994-Q3,,2117162.5,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1994-Q2,,2093710.4,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1994-Q1,,2091446,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1993-Q4,,2097592.1,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1993-Q3,,2092093,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1993-Q2,,2091446,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1993-Q1,,2100179.9,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),"PIB trimestriel - approche des dépenses, en dollars des Etats-Unis",I,Q,Trimestrielle,Y,Corrigé des variations saisonnières et des effets de calendrier,USA,États-Unis,S13,Administrations publiques,S1,Economie totale,P3,Dépense de consommation finale,_Z,Non applicable,_Z,Non applicable,_T,Total,USD_PPP,"Dollars des É-U, PPA convertis",LR,Volumes chaînés (rebasés),LA,Niveaux annuels,T0102,Tableau 0102 - PIB selon l'approche de la dépense,1992-Q4,,2118294.7,,2020,,,,F,Libre (libre pour publication),1,One,E,Estimated value,6,Millions,USD,Dollars des États-Unis
